food_name,energy_kcal,carb_g,protein_g,fat_g,servings_unit,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g
Afghani chicken,151.51,1.95,15.66,9.07,plate,287.50,3.69,29.72,17.21
Al yakhani,147.54,4.65,2.86,13.14,bowl,342.30,10.78,6.63,30.49
Almond biscuit (Badam ke biscuit),407.74,52.14,6.25,19.70,biscuit,75.74,9.69,1.16,3.66
Almond cardamom cake (Badam elaichi cake),356.35,34.53,7.18,21.36,slice,242.84,23.53,4.89,14.55
Almond soup (Badam ka soup),78.65,3.68,10.13,13.80,bowl,375.16,17.57,48.32,65.82
Amaranth ladoo (Rajgira ladoo),454.15,51.33,10.12,22.70,ladoo,199.28,22.52,4.44,9.96
American frosting,257.57,67.48,1.05,0.01,,,,,
Appam,267.70,13.28,3.12,22.63,appam,409.28,20.30,4.77,34.60
Apple and honey sorbet (Seb aur shehad ka sharbat),121.30,30.74,0.15,0.29,cup,196.96,49.92,0.25,0.47
Apple banana pie,243.99,32.12,3.13,11.39,pie,948.46,124.84,12.16,44.29
Apple cake (Seb ka cake),290.08,39.48,4.94,12.87,piece,197.25,26.85,3.36,8.75
Apple cinnamon pie,258.73,33.68,3.35,12.21,slice,458.28,59.65,5.94,21.62
Apple crumb pudding,220.85,35.17,1.54,8.87,small plate,216.99,34.55,1.51,8.72
Apple jam (Seb ka murabba),188.79,48.56,0.14,0.32,,,,,
Apple jelly (Seb ki jelly),152.13,39.37,0.10,0.21,,,,,
Apple kheer (Seb ki kheer),81.30,11.34,2.14,3.18,bowl,270.47,37.74,7.11,10.58
Apple mousse,106.92,12.77,4.21,4.27,bowl,390.28,46.59,15.36,15.60
Apple oats chia seed smoothie,85.64,13.07,3.49,2.48,glass,538.28,82.15,21.94,15.56
Apple sago payasam (Seb aur sabudana ki kheer),136.50,14.40,3.13,7.66,bowl,451.91,47.68,10.36,25.36
Apple snowballs,101.51,24.58,0.86,0.31,piece,263.42,63.79,2.23,0.81
Apricot fool,240.79,33.64,1.54,11.35,tall stemmed glass,550.09,76.85,3.51,25.92
Arhar with spinach (Arhar dal aur palak),52.84,4.77,2.05,2.76,curry bowl,213.09,19.22,8.27,11.11
Assorted pastry,230.74,31.99,6.78,8.91,pastry,185.36,25.69,5.44,7.16
Atta dal burfi ,298.80,40.64,6.66,12.47,piece,115.78,15.75,2.58,4.83
Avial,124.56,8.47,2.46,8.94,bowl,417.34,28.39,8.25,29.94
Bacon and mushroom pancake,157.67,8.47,6.82,10.60,pancake,191.57,10.29,8.29,12.88
Baked brinjal in tomato sauce,38.63,4.13,1.58,1.62,bowl,166.44,17.79,6.81,7.00
Baked custard,106.53,9.45,5.41,5.30,bowl,226.90,20.14,11.53,11.30
Baked egg ,218.85,15.42,11.88,12.65,egg,221.04,15.57,12.00,12.78
Baked eggs in tomato sauce,80.05,3.78,4.92,5.22,plate,398.25,18.79,24.48,25.99
Baked fish with cheese sauce,113.96,4.06,8.64,7.02,bowl,403.14,14.38,30.55,24.84
Baked potato soup,147.05,5.85,5.73,11.21,bowl,769.88,30.63,30.01,58.68
Baked potato with skin ,135.77,11.11,3.43,8.50,bowl,106.41,8.71,2.69,6.66
Baked stuffed fish,121.96,2.12,16.14,5.43,fish,742.09,12.91,98.20,33.02
Baked vegetables,88.99,8.44,3.67,4.44,bowl,269.19,25.52,11.10,13.42
Baked vegetables with spinach ,77.79,6.93,3.22,4.03,bowl,329.47,29.35,13.63,17.06
Banana appam,469.81,20.06,1.17,42.53,appam,1364.20,58.24,3.39,123.49
Banana cake (Kele ka cake),389.51,40.00,5.77,23.31,slice,258.30,26.52,3.83,15.46
Banana chips (Kele ke chips),665.67,7.32,0.37,70.46,bowl,1134.13,12.48,0.63,120.04
Banana groundnut paste/puree,213.19,36.15,4.27,5.45,,213.19,36.15,4.27,5.45
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,tall glass,225.63,31.60,6.37,8.19
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,11.15,2.01,2.77,tall glass,259.92,37.92,6.85,9.42
Banana raita (Kele ka raita),89.03,13.51,4.13,2.07,bowl,141.42,21.46,6.56,3.29
Barbeque sauce,121.93,20.46,0.96,4.51,,,,,
Bathua bhujia,90.90,3.63,2.26,7.29,bowl,180.36,7.20,4.49,14.46
Bathua poori,598.79,13.85,2.35,59.14,poori,544.24,12.59,2.14,53.75
Bathua raita,54.40,5.31,4.13,1.76,bowl,110.53,10.79,8.38,3.58
Beans and macaroni,136.08,14.24,4.58,7.01,plate,345.99,36.21,11.65,17.83
Beans foogath,105.06,3.26,2.03,9.22,small bowl,190.35,5.90,3.67,16.71
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,4.39,2.62,11.39,bowl,196.84,6.57,3.92,17.04
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,3.40,3.36,6.45,small bowl,188.94,7.57,7.47,14.36
Beetroot poori (Chukandar ki poori),527.66,12.29,1.91,52.18,poori,543.14,12.65,1.97,53.71
Bengal 5 Spice Blend (Panch Phoran),289.79,20.00,18.26,22.16,,,,,
Bengal fish curry (Bengali machli curry),109.43,4.42,7.26,7.03,bowl,339.76,13.72,22.55,21.82
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,21.39,5.54,12.09,parantha,178.12,17.60,4.56,9.94
Besan bathua chilla/cheela,373.82,40.65,11.48,18.57,cheela,112.61,12.24,3.46,5.60
Besan gatte curry,189.38,16.26,7.75,10.72,bowl,484.17,41.56,19.83,27.41
Besan kadhi with pakodies,403.35,3.56,1.64,42.59,bowl,2366.79,20.91,9.65,249.90
Bhatura,793.20,10.73,1.63,82.56,bhatura,1154.61,15.62,2.37,120.18
Bhel puri ,509.89,16.47,3.52,47.91,plate,3573.64,115.42,24.65,335.80
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,14.11,5.67,6.61,bowl,168.70,16.93,6.79,7.93
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.51,21.55,3.44,2.58,plate,498.16,85.54,13.64,10.23
Black forest gateau,217.82,30.57,5.94,8.58,piece,142.76,20.03,3.89,5.62
Black forest pastry,233.55,34.48,6.09,8.46,pastry,217.78,32.15,5.68,7.89
Black rice kheer (Chak-hao kheer),147.94,22.93,4.37,4.91,bowl,307.22,47.62,9.07,10.19
Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,egg,68.49,0.18,6.69,4.59
Boiled rice (Uble chawal),117.19,25.72,2.60,0.18,plate,351.57,77.16,7.81,0.55
Boondi raita,687.72,3.96,2.19,73.83,bowl,2261.74,13.03,7.21,242.80
Boti kebab,132.86,3.06,9.22,9.27,kebab,72.66,1.67,5.04,5.07
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,burfi,199.03,17.68,4.23,12.75
Bottle gourd kheer (Ghiya/Lauki kheer),84.07,10.00,2.70,3.86,bowl,225.06,26.78,7.23,10.32
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,5.76,3.98,2.07,bowl,85.96,8.79,6.07,3.15
Bottle gourd soup (Ghiya/Lauki soup),23.05,1.16,0.45,1.79,bowl,68.01,3.43,1.34,5.30
Bread and butter pudding ,167.94,19.63,5.59,7.88,plate,206.85,24.17,6.88,9.70
Bread pakora/pakoda,710.99,8.87,2.57,74.20,plate,4653.42,58.07,16.83,485.62
Bread roll,435.46,16.12,2.85,40.25,bread roll,526.92,19.50,3.45,48.70
Bread sauce,111.04,8.69,3.46,7.05,,,,,
Bread upma,129.51,12.60,2.80,7.75,bowl,137.61,13.39,2.97,8.23
Brinjal bhartha (Baingan ka bhartha),65.12,4.40,1.38,4.48,bowl,212.17,14.33,4.50,14.60
Brinjal pickle (Baingan ka achaar),139.01,4.23,2.24,12.98,,,,,
Broccoli chicken ala king,119.56,5.34,7.97,7.57,bowl,282.27,12.60,18.83,17.88
Broccoli delight,40.70,2.34,2.49,2.48,bowl,81.19,4.67,4.97,4.96
Brown sauce,109.18,5.38,11.92,23.67,,,,,
Brown stock,21.32,0.25,1.95,1.38,cup,103.65,1.22,9.47,6.73
Buckwheat pancake (Khura),263.30,27.28,2.91,16.43,pancake,274.93,28.48,3.04,17.16
Butter chicken,137.00,3.74,10.92,8.70,large piece,377.04,10.31,30.06,23.94
Butter icing,500.72,71.64,0.19,25.37,tablespoon,81.12,11.61,0.03,4.11
Butterfly biscuit,341.45,25.33,9.98,22.11,biscuit,41.48,3.08,1.21,2.69
Buttermilk biscuit,322.54,34.93,5.76,17.50,biscuit,414.46,44.88,7.40,22.49
Cabbage and peas (Pattagobhi aur matar),63.88,6.24,3.24,2.64,bowl,106.21,10.37,5.39,4.40
Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.80,bowl,212.47,24.75,7.30,9.66
Cabbage kofta curry (Pattagobhi kofta curry),639.81,2.87,0.98,69.40,bowl,4562.95,20.50,6.96,494.94
Cabbage manchurian (Pattagobhi manchurian),224.26,4.85,0.64,22.48,bowl,1660.41,35.90,4.71,166.47
Cabbage raita (Pattagobhi raita),84.84,5.25,3.24,5.76,bowl,196.95,12.18,7.53,13.37
